name,pop,lat,lng
El Progreso,6.11,14.889743,-90.0389525
Sacatepéquez,11.4,14.6076432,-90.721531
Chimaltenango,16.37,14.5703785,-90.9614924
Escuintla,3.04,14.3010087,-90.7883622
Santa Rosa,14.27,14.1874312,-90.3815262
Sololá,14.57,14.7663904,-91.1776879
Totonicapán,24.5,14.9885819,-91.39735089
Quetzaltenango,17.31,14.8515007,-91.53146629
Suchitepéquez,29.53,14.4384796,-91.4269021
Retalhuleu,15.04,14.3914192,-91.74916429
San Marcos,18.73,14.9305029,-91.9110726
Huehuetenango,11.27,15.3196429,-91.4767974
Quiché,20.15,15.4844573,-90.9813963
Baja Verapaz,27.3,15.0887358,-90.4085801
Alta Verapaz,46.65,15.5864997,-90.1565066
Petén,19.79,16.8793966,-90.3759084
Izabal,28.9,15.5852334,-88.9245394
Zacapa,36.72,14.9686406,-89.5388653
Chiquimula,37,14.7909797,-89.5468472
Jalapa,22.75,14.5624449,-89.9230987
Jutiapa,16.27,14.1705684,-89.9169417
